EP Site ID,Latitude,Longitude
PH-ILN-00039,18.15558333,120.5377333
PH-NCR-01279,14.723528,121.041923
PH-NUV-00327,16.44049722,121.1005778
PH-NUE-00616,15.657687,120.768786
PH-ISA-00232,16.908815,121.80662
PH-ILS-02324,17.58505,120.36169
PH-ISA-02626,16.865555,121.615477
PH-AUR-02267,15.755878,121.571169
PH-BEN-02241,16.434563,120.623674
PH-TAR-00665,15.55073,120.64422
PH-ILS-00154,17.25849797,120.42907
PH-PAN-00438,16.03388,120.22185
PH-LAG-03152,14.035588,121.267842
PH-NCR-01208,14.76721,121.04446
PH-NCR-01237,14.74433,121.03548
PH-NCR-01254,14.734175,121.052057
PH-NCR-01409,14.676189,121.042952
PH-NCR-01294,14.71693,120.95512
PH-NCR-01278,14.72404,121.02667
PH-NCR-01428,14.670042,120.999358
PH-NCR-01303,14.7133,120.98298
PH-NCR-01257,14.733235,121.034588
PH-NCR-01290,14.717977,121.03414
PH-NCR-01318,14.70694,120.99149
PH-NCR-01322,14.70488,121.00735
PH-NCR-01537,14.63758,120.96615
PH-NCR-01334,14.700223,120.982514
PH-NCR-01373,14.688784,120.956802
PH-NCR-01349,14.695553,120.959994
PH-NCR-01340,14.69778333,121.0366556
PH-NCR-01364,14.6913,121.01026
PH-NCR-01377,14.6862,120.985796
PH-NCR-02466,14.678138,120.94069
PH-NCR-01380,14.685581,120.976094
PH-NCR-01436,14.6685,120.99229
PH-NCR-02368,14.672963,121.02588
PH-NCR-02556,14.6243,120.986432
PH-NCR-01427,14.670468,121.039086
PH-NCR-01467,14.660674,121.029842
PH-NCR-01497,14.651526,121.029468
PH-NCR-01495,14.651842,120.97756
PH-NCR-01489,14.6532292,121.0202614
PH-NCR-01494,14.652075,120.997497
PH-NCR-01523,14.642768,121.036284
PH-NCR-01524,14.642324,120.975273
PH-NCR-01538,14.637347,120.996469
PH-NCR-01559,14.63131,121.0486
PH-RIZ-02228,14.61569,121.16063
PH-NCR-01568,14.628914,121.033843
PH-NCR-01586,14.623572,121.027801
PH-NCR-01579,14.624835,121.040194
